MAML100,NORMAL,Sophon,PARSEC,DRL360
2.261239992127649,-7.709489584348109,-7.73417321593163,-12.738455823910215,-10.761673286493878
5.89224799842553,4.700636040701199,4.3,3.8076361420384157,4.3
5.818449599685105,5.8,6.3,5.8,4.3
5.00368991993702,5.8,5.172822285271465,5.8,4.3
4.440737983987404,4.8,1.041762170293282,5.229820136318189,3.35
4.32814759679748,6.3,2.9744569086345303,5.8,4.8
5.905629519359496,5.8,4.50004239950195,5.8,3.35
5.8211259038718985,5.8,3.796228134883906,5.8,4.8
5.004225180774379,4.8,4.977693688968818,5.8,3.35
4.440845036154876,6.3,5.697995739696577,5.8,2.85
4.328169007230975,4.8,3.27024490362689,5.8,2.85
4.305633801446195,4.3,1.8689725038585108,5.8,2.85
4.301126760289239,6.3,4.531728596802163,5.8,2.85
4.300225352057847,5.8,2.3319834621874134,5.8,4.8
4.300045070411569,5.8,5.777751364099363,5.8,3.35
5.900009014082314,5.8,3.891783369073725,5.8,4.8
5.820001802816462,5.8,5.163067149567081,5.8,4.3
5.8040003605632915,5.8,4.4136114690351205,5.8,4.3
5.000800072112658,5.8,2.343399367234727,5.8,4.3
4.440160014422531,5.8,5.8,5.8,3.35
4.328032002884506,5.8,4.8,5.8,4.8
5.905606400576901,5.8,6.3,5.8,3.35
5.02112128011538,5.8,4.8,5.8,2.85
4.444224256023076,5.8,6.3,5.8,2.85
4.3288448512046145,5.8,4.8,5.8,4.8
4.305768970240923,4.8,6.3,5.8,4.3
5.901153794048184,6.3,1.3755810510643727,5.8,3.35
5.020230758809636,5.8,4.8,5.8,2.85
4.444046151761927,5.8,6.3,5.8,4.8
4.328809230352385,4.8,4.8,5.8,3.35
5.905761846070477,6.3,6.3,5.8,2.85
5.8211523692140945,4.8,4.8,5.8,2.85
5.004230473842819,6.3,6.3,5.8,4.8
6.040846094768564,5.8,5.8,5.8,4.3
5.048169218953713,5.8,4.8,5.8,3.35
4.449633843790743,5.8,4.3,5.8,4.8
4.329926768758148,5.8,6.3,5.8,3.35
4.3059853537516295,4.8,5.8,5.8,2.85
4.301197070750326,4.3,5.8,5.8,2.85
4.300239414150065,4.3,5.8,5.8,2.85
4.300047882830013,6.3,5.8,5.8,2.85
5.900009576566003,5.8,4.8,5.8,2.85
5.8200019153132,5.8,6.3,5.8,4.8
5.80400038306264,5.8,5.8,5.8,3.35
5.800800076612528,5.8,5.8,5.8,4.8
5.000160015322505,4.8,5.8,5.8,3.35
6.040032003064501,6.3,4.8,5.8,2.85
5.848006400612899,4.8,6.3,5.8,2.85
