MAML100,NORMAL,Sophon,PARSEC,DRL360
3.2,0.8855257976644344,1.9459784702342358,-1.702727504899193,6.3
6.88,6.806444246380865,6.3,6.959658456327102,4.85
7.616,6.3,6.3,7.8,4.85
7.763199999999999,7.8,7.8,7.8,6.3
7.79264,7.8,7.8,7.477854538659916,6.3
7.798527999999999,7.8,6.6822444928984535,7.8,6.3
6.5997056,7.8,5.440618281250911,7.8,6.3
7.5599411199999995,7.8,6.3,7.8,4.85
7.751988224,7.8,4.872111896368686,7.8,4.85
7.7903976448,7.2520312602565795,3.858622990182642,5.96839138360618,4.85
7.79807952896,7.8,6.3,7.8,4.85
6.599615905792,4.769229364196106,6.3,4.86779114890067,6.3
6.3599231811584,4.535637995465546,7.668672723721159,4.611423296249557,6.3
6.31198463623168,4.80436008566225,2.582980741257158,3.578637749099337,6.3
7.502396927246336,6.252371257486847,6.3,6.300714107971288,4.85
6.540479385449267,3.736260103867755,6.3,4.747753009482408,4.85
6.348095877089853,6.3,6.3,5.689026892971404,4.85
7.509619175417971,7.8,7.8,6.892842677915046,4.85
7.741923835083594,3.881070618963169,4.677177697912574,3.809384878431474,6.3
7.788384767016719,6.273002025194513,6.3,6.742833931880911,4.85
6.597676953403344,5.362189217630555,6.3,5.752130419329934,4.85
6.359535390680668,3.2198595735065263,6.3,4.099023852659215,4.85
7.511907078136134,2.2350489167369156,7.8,2.5959587887783524,4.85
6.542381415627227,5.903481963413206,4.2130980465633,5.978550016498878,6.3
7.548476283125446,5.076586631923137,3.9975522266921177,5.2284107397277495,4.85
6.549695256625089,3.926680169761265,4.127532740360332,4.392323597313446,6.3
6.349939051325018,1.3648942466524847,1.5986616352078267,2.3122275938104195,4.85
6.309987810265003,5.302699875887364,6.3,5.367991926935618,4.85
6.301997562053001,-0.3349080699496563,-0.5695142562548847,-3.024960020050721,6.3
7.5003995124106,2.5207824787739033,2.267522218476749,-1.5952403043025027,4.85
7.74007990248212,2.5009454410754115,5.850760672401595,2.5898107290089634,6.3
7.788015980496423,3.1713748418465797,-1.0668670951595312,0.22644436315064453,6.3
7.797603196099285,-6.224369625521412,-7.161471303449307,-8.206796307914228,4.85
6.599520639219857,3.244494470929496,2.8515536416676146,1.1785551866009634,4.85
7.559904127843971,6.3,6.3,5.529263446979658,4.85
6.551980825568794,7.68298029827489,6.676122264979685,3.5929599717721343,6.3
6.350396165113759,6.3,5.065466060000721,7.8,4.85
6.310079233022751,6.7887059160307555,1.8659971822956027,3.637926835273518,4.85
7.50201584660455,3.681247312726617,4.449184586318909,3.807249482732149,4.85
7.74040316932091,2.231396982641514,6.3,2.8753087466927054,4.85
6.588080633864182,7.496855184345997,6.552243770041054,7.8,6.3
6.357616126772836,6.3,2.945645847263295,4.281304439061765,6.3
6.311523225354567,6.555125993546828,6.3,5.477100512637589,4.85
7.502304645070914,1.1993376981105044,6.3,1.886703376097432,4.85
6.540460929014182,6.180410778171639,0.8733456570969595,2.118655695485584,6.3
7.548092185802837,6.3,4.605364591281777,5.339441767898008,4.85
6.549618437160567,7.8,5.408946046098199,6.428072430915918,4.85
6.349923687432113,6.546090755543633,5.052589016050265,6.182979789612833,6.3
