MAML100,NORMAL,Sophon,PARSEC,DRL360
5.85,7.8,6.3,7.431351640826917,6.3
7.01,7.8,6.3,7.8,4.85
8.442,7.8,6.3,7.8,4.85
7.5283999999999995,6.3,7.8,7.8,4.85
7.34568,7.8,7.8,7.8,6.3
8.509136,7.8,7.8,7.8,4.85
7.541827199999999,7.8,6.3,7.8,4.85
7.348365439999999,6.3,6.3,7.8,6.3
8.509673088,7.8,7.8,7.8,4.85
8.7419346176,6.3,7.8,7.8,6.3
7.58838692352,7.8,6.3,7.8,4.85
7.357677384703999,7.8,6.3,7.8,4.85
7.311535476940799,7.8,7.8,7.8,4.85
7.3023070953881595,6.3,7.8,7.8,4.85
8.500461419077633,7.8,7.8,7.8,6.3
8.740092283815526,7.8,6.3,7.8,4.85
8.788018456763107,7.8,7.8,7.8,6.3
8.797603691352622,7.8,7.8,7.8,4.85
7.599520738270524,7.8,0.4984453256339254,7.8,6.3
8.559904147654105,7.8,5.661564506628048,7.8,4.85
8.751980829530822,6.3,3.124976998153067,6.378891027580988,6.3
8.790396165906165,7.8,5.481994232695696,6.698536622454341,4.85
8.798079233181234,6.3,2.883775989256079,2.709081879288269,6.3
8.799615846636247,6.3,4.927435424248641,6.756306741519844,4.85
8.79992316932725,7.8,6.3,6.5143790565827455,4.85
8.799984633865451,7.8,3.9052921956432667,5.643626989118493,6.3
7.599996926773089,7.8,6.3,3.5651213610553762,4.85
7.359999385354618,7.8,6.3,7.8,6.3
7.311999877070923,6.3,7.8,6.7311415162388775,4.85
8.502399975414185,6.3,7.8,5.5056651481280365,4.85
8.740479995082838,7.8,2.9394284735844094,7.8,4.85
7.588095999016567,7.8,5.137095471805597,7.366415480118015,4.85
7.357619199803313,7.8,2.636176977351756,7.696041143304185,6.3
7.311523839960662,6.3,5.073259127053794,5.561241028359057,4.85
7.302304767992132,7.8,3.509912133912544,7.198332687919058,6.3
7.300460953598426,7.8,6.100028491568556,6.372356397174894,4.85
7.300092190719685,6.3,7.5909953532401,7.8,6.3
8.500018438143938,7.8,4.4711156207959135,7.8,4.85
7.540003687628787,6.3,2.1133117708037146,4.05907510548893,4.85
8.548000737525758,7.8,4.541082354372181,1.105595304306135,4.85
8.749600147505152,6.3,3.8797339063018597,3.563984045758474,4.85
8.789920029501031,6.3,3.5755006572870496,3.4379777880703237,6.3
8.797984005900206,7.8,0.3209613469864774,-3.491230686112689,6.3
7.5995968011800406,1.0577261228195836,2.5360691582600374,-2.6457791635651935,6.3
7.359919360236008,-1.8684918335214666,-5.218665913020051,-4.859806102100845,6.3
7.311983872047201,4.324418990630971,0.3405148547125165,1.2170873349007891,6.3
7.30239677440944,2.9499368936032235,6.3,4.385870684042416,6.3
7.300479354881888,3.7812788644310213,6.3,4.100036945989089,4.85
